UniProt1	UniProt2	symbol1	symbol2	evidence type	glioblastoma multiforme
O14503	Q15910	BHLHE40	EZH2	exp	1
O14503	Q00987	BHLHE40	MDM2	exp	1
O14503	P08670	BHLHE40	VIM	exp	1
O14503	Q12824	BHLHE40	SMARCB1	exp	1
O14503	P68400	BHLHE40	CSNK2A1	exp	1
O14503	P04637	BHLHE40	TP53	exp;pred	1
O14503	O14503	BHLHE40	BHLHE40	exp;ortho	1
O14503	P40763	BHLHE40	STAT3	exp	1
O14746	P07900	TERT	HSP90AA1	exp;pred	1
O14746	Q00987	TERT	MDM2	exp	1
O14746	Q99973	TERT	TEP1	exp;pred	1
O14746	O14746	TERT	TERT	exp	1
O14746	Q99828	TERT	CIB1	exp	1
O14746	P12931	TERT	SRC	exp;pred	1
O14746	Q96KB5	TERT	PBK	exp	1
O14746	P17252	TERT	PRKCA	exp	1
O14746	P31749	TERT	AKT1	exp;pred	1
O14746	P29590	TERT	PML	exp	1
O14746	P19338	TERT	NCL	exp	1
O14746	P07355	TERT	ANXA2	exp	1
O14746	P42345	TERT	MTOR	exp	1
O14746	P0DMV8	TERT	HSPA1A	exp	1
O14746	P34932	TERT	HSPA4	exp	1
O15151	O15151	MDM4	MDM4	exp	1
O15151	P06400	MDM4	RB1	exp;pred	1
O15151	P31749	MDM4	AKT1	exp;pred	1
O15151	Q00987	MDM4	MDM2	exp;ortho;pred	1
O15151	P10415	MDM4	BCL2	exp	1
O15151	Q13315	MDM4	ATM	exp;pred	1
O15151	P38936	MDM4	CDKN1A	exp;ortho;pred	1
O15151	P04637	MDM4	TP53	exp;ortho;pred	1
O15151	Q01094	MDM4	E2F1	exp;pred	1
O15151	P06493	MDM4	CDK1	exp;pred	1
O15151	P05067	MDM4	APP	exp	1
O15151	P42574	MDM4	CASP3	exp;pred	1
O15151	O96017	MDM4	CHEK2	exp;pred	1
O15151	O15350	MDM4	TP73	exp;pred	1
O15151	P07900	MDM4	HSP90AA1	exp	1
O15151	O60934	MDM4	NBN	exp;pred	1
O43490	P12931	PROM1	SRC	exp	1
O43490	P27986	PROM1	PIK3R1	exp	1
O60885	P25440	BRD4	BRD2	exp;pred	1
O60885	P41221	BRD4	WNT5A	exp	1
O60885	P01106	BRD4	MYC	exp;pred	1
O60885	P10415	BRD4	BCL2	exp	1
O60885	P40763	BRD4	STAT3	exp	1
O60885	P05412	BRD4	JUN	exp	1
O60885	Q96EB6	BRD4	SIRT1	exp	1
O60885	P46108	BRD4	CRK	exp;pred	1
O60885	P01375	BRD4	TNF	exp	1
O60885	P27986	BRD4	PIK3R1	exp	1
O75874	P18085	IDH1	ARF4	exp	1
O75874	Q9UBP4	IDH1	DKK3	exp	1
O75874	P24941	IDH1	CDK2	exp	1
O75874	P04629	IDH1	NTRK1	exp	1
O75874	O75874	IDH1	IDH1	exp;pred	1
O75874	P48735	IDH1	IDH2	exp;pred	1
O95980	P04626	RECK	ERBB2	exp	1
O95980	P14780	RECK	MMP9	exp;pred	1
P00533	P29353	EGFR	SHC1	exp;ortho;pred	1
P00533	P09619	EGFR	PDGFRB	exp;pred	1
P00533	P78527	EGFR	PRKDC	exp	1
P00533	Q01650	EGFR	SLC7A5	exp;pred	1
P00533	P30530	EGFR	AXL	exp;pred	1
P00533	Q9UKW4	EGFR	VAV3	exp;pred	1
P00533	P07900	EGFR	HSP90AA1	exp;pred	1
P00533	P17252	EGFR	PRKCA	exp;pred	1
P00533	P08069	EGFR	IGF1R	exp;pred	1
P00533	P01137	EGFR	TGFB1	exp;pred	1
P00533	Q15139	EGFR	PRKD1	exp;pred	1
P00533	P17931	EGFR	LGALS3	exp;pred	1
P00533	P01135	EGFR	TGFA	exp;pred	1
P00533	Q9NRX1	EGFR	PNO1	exp	1
P00533	Q14289	EGFR	PTK2B	exp;pred	1
P00533	P11387	EGFR	TOP1	exp	1
P00533	P04629	EGFR	NTRK1	exp;pred	1
P00533	P07339	EGFR	CTSD	exp	1
